Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
36,"Norfolk , VA",12/18/1980,Georgia,Active,Baltimore Ravens,14th season,75,Northwestern HS,"Rock Hill, SC","Watson, Benjamin",82,benjaminwatson/2506122,TE,251,
25,"Atlanta , GA",6/3/1992,Tennessee,Active,Miami Dolphins,4th season,78,North Gwinnett HS,"Suwanee, GA","James, Ja'Wuan",70,ja'wuanjames/2543755,T,307,
31,"Lakeland , FL",6/4/1986,Marshall,Active,Baltimore Ravens,7th season,74,Kathleen HS,"Lakeland, FL","McClellan, Albert",50,albertmcclellan/496814,OLB,250,
,,,Cincinnati,Active,Seattle Seahawks,Rookie,73,Lake Taylor HS,"Norfolk, VA","Tyson, Michael",,michaeltyson/2558853,SAF,204,
25,"Midfield , AL",4/24/1992,Alabama-Birmingham,Active,Arizona Cardinals,3rd season,70,Midfield HS,AL,"Nelson, J.J.",14,j.j.nelson/2552656,WR,160,
29,"El Paso , TX",3/17/1988,Florida Atlantic,Unsigned free agent,New England Patriots,5th season,77,Judson HS,"Converse, TX","Housler, Rob",86,robhousler/2508112,TE,250,
27,"Ladson , SC",5/18/1990,North Carolina,Active,Los Angeles Rams,7th season,76,Fort Dorchester HS,"North Charleston, SC","Quinn, Robert",94,robertquinn/2495485,DE,264,
26,"Valdosta , GA",4/11/1991,Florida State,Active,Jacksonville Jaguars,4th season,75,Lowndes HS,"Valdosta, GA","Smith, Telvin",50,telvinsmith/2543711,OLB,218,
22,"Fairfield , AL",11/2/1994,Indiana,Active,Chicago Bears,2nd season,72,Gardendale HS,AL,"Howard, Jordan",24,jordanhoward/2555418,RB,222,
28,"Redwood City , CA",9/16/1988,Midwestern State,Active,Carolina Panthers,4th season,76,Merrill F West HS,"Tracy, CA","Silatolu, Amini",66,aminisilatolu/2532947,G,320,
24,"Burnsville , MN",1/9/1993,Penn State,Active,Kansas City Chiefs,2nd season,79,Chaska HS,MN,"Travis, Ross",88,rosstravis/2554630,TE,235,
23,"Houma , LA",6/1/1994,Louisiana-Lafayette,Active,New York Jets,Rookie,70,Vandebilt Catholic HS,"Houma, LA","McGuire, Elijah",,elijahmcguire/2557934,RB,214,
24,"Aberdeen , MS",9/17/1992,Mississippi,Active,Tampa Bay Buccaneers,2nd season,76,Aberdeen HS,MS,"Ward, Channing",71,channingward/2556702,DT,279,
23,,8/30/1993,Montana State,Active,San Francisco 49ers,Rookie,77,,,"Flynn, J.P.",,jpflynn/2558943,OG,304,
31,"Sweet Home , OR",2/18/1986,Nebraska,Active,Los Angeles Chargers,9th season,77,Sweet Home HS,OR,"Slauson, Matt",68,mattslauson/81871,C,315,
23,"Honolulu , HI",10/30/1993,Oregon,Active,Tennessee Titans,3rd season,76,St. Louis HS,"Honolulu, HI","Mariota, Marcus",8,marcusmariota/2552466,QB,222,
24,Neusitz Germany,4/1/1993,Wyoming,Active,Tampa Bay Buccaneers,Rookie,75,,,"Nzeocha, Eric",,ericnzeocha/2559381,LB,212,
24,,5/9/1993,Carroll (Mont.),Active,Kansas City Chiefs,Rookie,77,,,"James, Josh",,joshjames/2556564,OT,314,
22,"Plainwell , MI",8/17/1994,Michigan State,Active,Tennessee Titans,2nd season,78,Plainwell HS,MI,"Conklin, Jack",78,jackconklin/2555279,OT,308,
24,"Port St. Lucie , FL",7/2/1992,Louisville,Active,Cleveland Browns,4th season,71,Port St. Joe HS,FL,"Pryor, Calvin",,calvinpryor/2543469,DB,207,
28,"Rome , GA",4/17/1989,Clemson,Active,Tennessee Titans,2nd season,76,Victory Christian Center HS,"Charlotte, NC","Brown, Kourtnei",,kourtneibrown/2534835,DE,253,
32,"Mayfield Heights , OH",8/10/1984,Central Florida,Active,Detroit Lions,11th season,70,Estero HS,FL,"Prater, Matt",5,mattprater/2506677,K,201,
29,"Atlanta , GA",9/16/1987,East Carolina,Active,New York Giants,7th season,70,Tucker HS,GA,"Harris, Dwayne",17,dwayneharris/2495159,WR,202,
21,"Jacksonville , FL",2/9/1996,Virginia Tech,Active,Miami Dolphins,Rookie,74,Trinity Christian Academy HS,"Jacksonville, FL","Ford, Isaiah",,isaiahford/2558071,WR,195,
29,"Lowmoor , VA",6/11/1987,Virginia,Active,New Orleans Saints,9th season,77,Bath Co. HS,"Hot Springs, VA","Phillips, John",86,johnphillips/71435,TE,251,
27,"Fort Worth , TX",5/20/1990,East Central (OK),Active,Detroit Lions,5th season,76,Wichita Falls HS,TX,"Bryant, Armonty",97,armontybryant/2540278,DE,265,
26,"Pittsburgh , PA",5/4/1991,West Virginia,Active,Cincinnati Bengals,4th season,78,Alderdice HS,"Pittsburgh, PA","Clarke, Will",93,willclarke/2543881,DE,280,
26,"Concord , CA",1/30/1991,Arkansas,Active,Detroit Lions,4th season,77,Kingwood HS,"Houston, TX","Swanson, Travis",64,travisswanson/2543506,C,304,
31,"Burton , MI",4/21/1986,Grand Valley State,Active,Chicago Bears,9th season,74,Carman-Ainsworth HS,"Flint, MI","Skuta, Dan",,danskuta/2507673,LB,252,
25,,9/1/1991,South Carolina,Active,Washington Redskins,5th season,70,Greenwood HS,SC,"Swearinger, D.J.",,d.j.swearinger/2539943,FS,205,
23,,9/30/1993,Michigan,Active,Houston Texans,Rookie,78,,,"Godin, Matt",,mattgodin/2559178,DE,280,
26,"West Allis , WI",12/17/1990,Wisconsin,Active,Detroit Lions,4th season,73,Wautoma HS,WI,"Abbrederis, Jared",,jaredabbrederis/2543774,WR,195,
30,"Fort Lewis , WA",3/21/1987,Oregon,Active,Carolina Panthers,10th season,70,Timberline HS,"Lacey, WA","Stewart, Jonathan",28,jonathanstewart/949,RB,240,
23,,2/5/1994,James Madison,Active,Atlanta Falcons,Rookie,73,,,"Reynolds, Taylor",,taylorreynolds/2559123,DB,194,
30,"Memphis , TN",6/14/1986,Mississippi,Active,New York Giants,8th season,77,South Panola HS,"Batesville, MS","Jerry, John",77,johnjerry/497018,G,340,
32,"Forest , VA",3/26/1985,Liberty,Unsigned free agent,New York Giants,9th season,73,Liberty Christian Acad. HS,"Lynchburg, Va","Jennings, Rashad",23,rashadjennings/71345,RB,231,
32,"Cuero , TX",11/26/1984,Texas A&M,Unsigned free agent,Pittsburgh Steelers,8th season,76,Cuero HS,TX,"Wallace, Cody",72,codywallace/1270,C,296,
23,"Los Angeles , CA",7/8/1993,UCLA,Active,Tennessee Titans,2nd season,74,Rancho Bernardo HS,"San Diego, CA","Wallace, Aaron",52,aaronwallace/2555320,OLB,242,
23,"Beach , ND",8/11/1993,North Dakota State,Active,Cincinnati Bengals,Rookie,79,,,"Lechler, Landon",,landonlechler/2558966,OT,273,
26,"Pine Bluff , AR",6/30/1990,Arkansas,Unsigned free agent,Buffalo Bills,5th season,75,Warren HS,AR,"Gragg, Chris",89,chrisgragg/2539202,TE,244,
25,,9/30/1991,Utah,Active,Carolina Panthers,1st season,74,,,"Blechen, Brian",,brianblechen/2553493,LB,230,
27,"Tuscumbia , AL",5/14/1990,Arkansas State,Active,San Francisco 49ers,5th season,71,Hazelwood HS,"Town Creek, AL","Jones, Don",,donjones/2541154,DB,195,
25,"San Francisco , CA",2/15/1992,Oregon State,Active,Atlanta Falcons,3rd season,67,De La Salle HS,"Concord, CA","Ward, Terron",,terronward/2553762,RB,201,
23,"San Antonio , TX",12/15/1993,Texas Christian,Active,Cleveland Browns,2nd season,70,Karen Wagner HS,"San Antonio, TX","Kindred, Derrick",30,derrickkindred/2555540,SS,210,
21,,8/7/1995,Iowa State,Active,New York Giants,Rookie,70,,,"Tribune, Nigel",,nigeltribune/2559309,DB,179,
21,"Kingsland , GA",11/16/1995,Florida,Active,Detroit Lions,Rookie,74,Camden County HS,"Kingsland, GA","Davis, Jarrad",,jarraddavis/2557855,LB,238,
22,"Richmond , CA",11/2/1994,Texas,Active,Indianapolis Colts,2nd season,75,Mansfield HS,TX,"Ridgeway, Hassan",91,hassanridgeway/2555514,DT,317,
22,"San Antonio , TX",2/16/1995,Texas A&M,Active,Los Angeles Rams,Rookie,75,John Jay HS,"San Antonio, TX","Reynolds, Josh",,joshreynolds/2558194,WR,187,
26,"Upper Marlboro , MD",1/1/1991,West Virginia,Active,Seattle Seahawks,5th season,75,Loyola Blakefield HS,"Baltimore, MD","Garvin, Terence",,terencegarvin/2541777,LB,235,
22,,12/13/1994,Utah,Active,Los Angeles Rams,Rookie,70,,,"Hatfield, Dominique",,dominiquehatfield/2559356,DB,161,
23,,4/29/1994,Iowa State,Active,Atlanta Falcons,Rookie,75,,,"Jones, Jarnor",,jarnorjones/2559113,DB,209,
28,"Cincinnati , OH",11/29/1988,Wisconsin,Active,Seattle Seahawks,6th season,71,Collegiate School HS,"Richmond, VA","Wilson, Russell",3,russellwilson/2532975,QB,215,
27,"Charlotte , NC",5/9/1990,Wofford,Active,Carolina Panthers,4th season,75,Charlotte Latin School HS,NC,"Bersin, Brenton",,brentonbersin/2535966,WR,210,
25,"Youngstown , OH",7/27/1991,Ohio State,Active,Green Bay Packers,4th season,75,Boardman HS,"Youngstown, OH","Linsley, Corey",63,coreylinsley/2543631,C,301,
21,"Portland , OR",8/4/1995,Eastern Washington,Active,San Francisco 49ers,Rookie,73,Milwaukie Arts Academy HS,"Portland, OR","Bourne, Kendrick",,kendrickbourne/2558914,WR,203,
24,"Raleigh , NC",8/11/1992,Tennessee,Active,Pittsburgh Steelers,4th season,79,Southeast Raleigh HS,NC,"McCullers-Sanders, Dan",93,danmccullers/2550154,NT,352,
29,"Piscataway , NJ",9/8/1987,Boise State,Unsigned free agent,New Orleans Saints,8th season,70,Piscataway HS,NJ,"Wilson, Kyle",24,kylewilson/79527,DB,190,
23,"Waconia , MN",4/12/1994,Minnesota,Active,Baltimore Ravens,3rd season,76,Waconia HS,MN,"Williams, Maxx",87,maxxwilliams/2552468,TE,257,
23,"Baton Rouge , LA",10/15/1993,Southern Mississippi,Active,Oakland Raiders,2nd season,68,Peabody HS,"Alexandria, LA","Richard, Jalen",30,jalenrichard/2556885,RB,207,
23,"Chicago , IL",5/9/1994,Ball State,Active,New Orleans Saints,1st season,75,North Central HS,"Indianapolis, IN","Williams, Jordan",,jordanwilliams/2556791,WR,228,
25,"Modesto , CA",12/8/1991,Fresno State,Active,Los Angeles Chargers,3rd season,70,Modesto Christian HS,CA,"Burse, Isaiah",,isaiahburse/2550182,WR,187,
25,,12/27/1991,Tennessee,Active,Kansas City Chiefs,5th season,78,Kingsburg HS,CA,"Bray, Tyler",9,tylerbray/2540173,QB,215,
24,"Tucson , AZ",10/30/1992,Arizona,Active,Chicago Bears,4th season,70,Canyon del Oro HS,"Tucson, AZ","Carey, Ka'Deem",25,ka'deemcarey/2543551,RB,215,
24,,12/29/1992,Clemson,Active,Cincinnati Bengals,2nd season,73,D.W. Daniel HS,"Central, SC","Williams, DeShawn",69,deshawnwilliams/2553623,DT,295,
24,,11/12/1992,Auburn,Active,Miami Dolphins,1st season,78,Palm Beach Gardens HS,FL,"Young, Avery",,averyyoung/2556837,OT,305,
26,"Thibodaux , LA",12/30/1990,Auburn,Active,Los Angeles Chargers,2nd season,72,Thibodaux HS,LA,"Reed, Trovon",38,trovonreed/2554352,CB,191,
24,"Del Rio , TX",5/22/1993,Colorado State,Active,Oakland Raiders,2nd season,73,Del Rio HS,TX,"James, Cory",57,coryjames/2555303,MLB,229,
23,"Moreno Valley , CA",4/15/1994,Oregon State,Active,Baltimore Ravens,Rookie,72,,,"Ortiz, Ricky",,rickyortiz/2559033,RB,233,
25,"Baltimore , MD",2/16/1992,Virginia Tech,Active,Chicago Bears,4th season,71,Mount Saint Joseph HS,"Baltimore, MD","Fuller, Kyle",23,kylefuller/2543681,CB,190,
22,,9/19/1994,Nicholls State,Active,New York Jets,Rookie,78,,,"Bordelon, Chris",,chrisbordelon/2559061,OT,315,
25,"Tacoma , WA",10/30/1991,Oregon State,Unsigned free agent,Buffalo Bills,4th season,75,Henry Foss HS,"Tacoma, WA","Crichton, Scott",,scottcrichton/2543639,DE,273,
25,"Cincinnati , OH",6/19/1991,Michigan State,Active,Kansas City Chiefs,1st season,74,Archbishop Moeller HS,"Cincinnati, OH","Rush, Marcus",,marcusrush/2553475,LB,251,
22,"Oldsmar , FL",10/12/1994,Clemson,Active,Los Angeles Chargers,Rookie,70,East Lake HS,"Tarpon Springs, FL","Scott, Artavis",,artavisscott/2559246,WR,193,
28,"Miami , FL",7/10/1988,Central Michigan,Active,Pittsburgh Steelers,8th season,70,Miami Norland HS,"Miami, FL","Brown, Antonio",84,antoniobrown/2508061,WR,181,
22,"Daphne , AL",8/12/1994,Alabama,Active,Washington Redskins,Rookie,74,Daphne HS,AL,"Anderson, Ryan",,ryananderson/2557853,OLB,258,
32,"Paterson , NJ",3/11/1985,Miami (Fla.),Active,Carolina Panthers,11th season,77,Wayne Hills HS,"Wayne, NJ","Olsen, Greg",88,gregolsen/2495700,TE,255,
25,"Grand Blanc , MI",6/5/1992,Bowling Green State,Active,Arizona Cardinals,2nd season,74,Grand Blanc HS,MI,"Martin, Gabe",50,gabemartin/2553563,LB,236,
28,"Burlington , IA",10/31/1988,Northwestern (Ia),Active,Houston Texans,3rd season,76,Pickerington Central HS,OH,"Peters, Brian",52,brianpeters/2552730,LB,240,
24,"West Burlington , IA",6/12/1992,Iowa,Active,Denver Broncos,1st season,75,Mount Pleasant HS,IA,"Krieger-Coble, Henry",84,henrykrieger-coble/2556580,TE,248,
30,"Long Beach , CA",12/1/1986,California,Active,Tampa Bay Buccaneers,10th season,70,Long Beach Polytechnic HS,CA,"Jackson, DeSean",,deseanjackson/1581,WR,175,
25,"Overland Park , KS",5/13/1992,Kansas,Active,Oakland Raiders,3rd season,72,Hutchinson HS,KS,"Heeney, Ben",50,benheeney/2552306,MLB,230,
31,"Fort Lauderdale , FL",3/18/1986,Connecticut,Active,Indianapolis Colts,9th season,70,Coral Springs Charter School HS,FL,"Butler, Darius",20,dariusbutler/79897,FS,188,
2017,,2/15/2000,West Virginia,Active,Philadelphia Eagles,Rookie,75,St. Edward HS,"Lakewood, OH","Orlosky, Tyler",,tylerorlosky/2559226,C,292,
26,"Pensacola , FL",11/23/1990,Connecticut,Active,Atlanta Falcons,3rd season,70,The Hun School HS,"Princeton, NJ","Williams, Nick",15,nickwilliams/2540279,WR,184,
23,"Philadelphia , PA",4/16/1994,Notre Dame,Active,Houston Texans,2nd season,72,Roman Catholic HS,"Philadelphia, PA","Fuller, Will",15,willfuller/2555346,WR,180,
29,"Drummond , MT",10/22/1987,Montana,Unsigned free agent,Los Angeles Rams,5th season,72,Drummond HS,MT,"Reynolds, Chase",34,chasereynolds/2531218,RB,205,
24,"Clarksville , MD",8/5/1992,Wake Forest,Active,Houston Texans,3rd season,72,River Hill HS,"Clarksville, MD","Johnson, Kevin",30,kevinjohnson/2552261,CB,185,
24,"Kearney , NE",7/11/1992,Kansas State,Active,Chicago Bears,2nd season,76,Abilene HS,KS,"Whitehair, Cody",65,codywhitehair/2555132,C,310,
27,"Shelby Twp., Macomb Co. , MI",7/21/1989,Grand Valley State,Active,Tennessee Titans,5th season,76,St. Clair HS,MI,"Lelito, Tim",,timlelito/2541851,G,315,
23,"Centerville , OH",4/8/1994,Northwestern,Active,Minnesota Vikings,Rookie,75,Centerville HS,"Centerville, OH","Odenigbo, Ifeadi",,ifeadiodenigbo/2558278,DL,265,
31,"Omaha , NE",11/25/1985,Montana,Unsigned free agent,Buffalo Bills,10th season,74,Helena HS,MT,"Carpenter, Dan",2,dancarpenter/2507401,K,228,
32,"Canadian , TX",11/2/1984,Arkansas,Unsigned free agent,Green Bay Packers,10th season,73,Northside HS,"Fort Smith, AR","Goode, Brett",61,brettgoode/2507262,LS,255,
28,"Sweetwater , TX",11/12/1988,Texas-El Paso,Active,Buffalo Bills,4th season,70,Sweetwater HS,TX,"Banyard, Joe",,joebanyard/2535696,RB,223,
27,"Albuquerque , NM",8/21/1989,Nebraska,Active,Denver Broncos,6th season,76,Cozad HS,NE,"Crick, Jared",,jaredcrick/2532822,DE,285,
27,"Seattle , WA",5/10/1990,Washington,Active,New Orleans Saints,5th season,75,Evergreen HS,"Seattle, WA","Kelemete, Senio",65,seniokelemete/2532889,G,300,
24,"Johns Creek , GA",7/10/1992,Georgia,Active,New England Patriots,3rd season,75,Wesleyan School HS,"Norcross, GA","Andrews, David",60,davidandrews/2553632,C,295,
31,"Dublin , GA",8/21/1985,Middle Tennessee State,Unsigned free agent,Indianapolis Colts,10th season,74,Dublin HS,GA,"Walden, Erik",93,erikwalden/2507488,OLB,250,
25,St. Croix U.S. Virgin Islands,5/13/1992,Duke,Active,Denver Broncos,4th season,71,Woodward Acad. HS,"College Park, GA","Thompson, Juwan",,juwanthompson/2550263,RB,225,
27,"Mobile , AL",10/27/1989,Alabama,Active,Los Angeles Rams,6th season,74,St. Paul's Episopal School HS,"Mobile, AL","Barron, Mark",26,markbarron/2532789,OLB,213,
25,"Woodstock , IL",1/15/1992,Illinois State,Active,Tampa Bay Buccaneers,1st season,75,,,"Liedtke, Michael",,michaelliedtke/2553669,OG,310,
23,,12/6/1993,West Virginia,Active,Tampa Bay Buccaneers,Rookie,71,,,"Fleming, Maurice",,mauricefleming/2559045,DB,203,
27,"Gretna , LA",4/29/1990,LSU,Active,Indianapolis Colts,5th season,76,Desire Street Academy HS,"New Orleans, LA","Edwards, Lavar",,lavaredwards/2539938,DE,275,
29,"Oak Park , IL",5/22/1988,Notre Dame,Unsigned free agent,Buffalo Bills,8th season,74,Proviso East HS,"Maywood, IL","Brown, Sergio",38,sergiobrown/2507834,DB,207,
24,"Wexford , PA",7/25/1992,Rutgers,Active,Denver Broncos,1st season,74,Cumberland Velley HS,"Mechanicsburg, PA","Snyder, Kevin",,kevinsnyder/2553603,LB,245,
26,"Fresno , CA",3/28/1991,Fresno State,Active,Oakland Raiders,4th season,75,Clements HS,"Sugar Land, TX","Carr, Derek",4,derekcarr/2543499,QB,215,
23,,10/29/1993,Rutgers,Active,Denver Broncos,Rookie,78,,,"Muller, Chris",,chrismuller/2558895,OG,300,
25,"Belmar , NJ",1/14/1992,Monmouth (N.J.),Active,Jacksonville Jaguars,3rd season,76,Manasquan HS,NJ,"Sterling, Neal",87,nealsterling/2553451,TE,254,
22,,6/26/1994,Pittsburgh,Active,Baltimore Ravens,Rookie,74,,,"Bradley, Bam",,bambradley/2558917,LB,229,
26,"Petersburg , VA",2/12/1991,Richmond,Active,New York Giants,4th season,77,Louisa Co. HS,"Mineral, VA","Wynn, Kerry",72,kerrywynn/2550312,DE,264,
25,"Fairview , OH",2/27/1992,Michigan,Active,Green Bay Packers,3rd season,74,St. Ignatius HS,"Cleveland, OH","Ryan, Jake",47,jakeryan/2552314,ILB,240,
24,"Huntsville , AL",7/16/1992,Vanderbilt,Active,Philadelphia Eagles,4th season,75,Madison Acad. HS,AL,"Matthews, Jordan",81,jordanmatthews/2543500,WR,212,
25,"Sykesville , MD",7/2/1991,Pennsylvania,Active,Detroit Lions,3rd season,75,Gilman School HS,"Baltimore, MD","Copeland, Brandon",51,brandoncopeland/2541695,OLB,263,
26,"Chicago , IL",2/22/1991,Ohio State,Active,Minnesota Vikings,2nd season,80,Grosse Pointe South HS,"Grosse Pointe, MI","Fragel, Reid",,reidfragel/2539651,OT,308,
29,"Detroit , MI",4/3/1988,Michigan,Active,Philadelphia Eagles,8th season,74,Crockett Tech HS,"Detroit, MI","Graham, Brandon",55,brandongraham/496788,DE,265,
22,Seoul South Korea,8/3/1994,Georgia Southern,Active,Los Angeles Chargers,Rookie,69,,,"Koo, Younghoe",,younghoekoo/2559205,K,194,
25,"Royal Oak , MI",6/10/1991,Michigan State,Active,Denver Broncos,3rd season,73,Detroit Country Day School HS,"Beverly Hills, MI","Fowler, Bennie",16,benniefowler/2550198,WR,212,
25,Croydon England,10/6/1991,No College,Active,Miami Dolphins,2nd season,78,,,"Okoye, Lawrence",,lawrenceokoye/2541134,OT,304,
24,"Anderson , IN",5/10/1993,Southern Utah,Active,Detroit Lions,2nd season,74,Foothill HS,"Henderson, NV","Killebrew, Miles",35,mileskillebrew/2555315,SS,222,
29,"Libertyville , IL",7/2/1987,Missouri State,Active,New Orleans Saints,8th season,75,Dwight HS,IL,"Harbor, Clay",,clayharbor/497242,TE,240,
25,"North , SC",9/7/1991,North Greenville,Active,Tampa Bay Buccaneers,2nd season,72,North HS,SC,"Martino, Freddie",,freddiemartino/2550223,WR,195,
23,,8/6/1993,Minnesota,Active,Atlanta Falcons,Rookie,75,,,"Lynn, Jack",,jacklynn/2559386,LB,234,
27,"Valrico , FL",1/24/1990,Central Michigan,Active,Los Angeles Chargers,5th season,70,Riverview HS,"Sarasota, FL","Addae, Jahleel",37,jahleeladdae/2541958,SS,195,
23,,6/14/1993,Kansas State,Active,Denver Broncos,Rookie,73,,,"Barnett, Dante",,dantebarnett/2559138,DB,193,
24,,7/7/1992,Bloomsburg,Active,Pittsburgh Steelers,1st season,78,,,"Feiler, Matt",,mattfeiler/2550561,OT,330,
26,"Detroit , MI",11/10/1990,Cincinnati,Unsigned free agent,New York Giants,3rd season,71,University of Detroit HS,MI,"Winn, George",44,georgewinn/2541910,RB,215,
29,"Pembroke Pines , FL",3/28/1988,Georgia,Active,Cincinnati Bengals,8th season,73,St. Thomas Aquinas HS,"Fort Lauderdale, FL","Atkins, Geno",97,genoatkins/496762,DT,300,
30,"Abbeville , LA",3/27/1987,Tennessee State,Active,Baltimore Ravens,6th season,71,R.J. Reynolds HS,"Winston-Salem, NC","Levine, Anthony",41,anthonylevine/2508004,CB,200,
24,"Fort Lauderdale , FL",6/22/1992,Tennessee State,Active,Los Angeles Rams,4th season,74,Coral Springs Christian Acad. HS,FL,"Rhaney, Demetrius",65,demetriusrhaney/2549991,OG,301,
24,"Miami , FL",1/21/1993,Michigan,Active,Detroit Lions,2nd season,75,St. Thomas Aquinas HS,"Fort Lauderdale, FL","Rudock, Jake",14,jakerudock/2556232,QB,207,
25,"New Ellington , SC",4/28/1992,Boise State,Active,Dallas Cowboys,4th season,75,Silver Bluff HS,"Aiken, SC","Lawrence, Demarcus",90,demarcuslawrence/2543490,DE,270,
25,"High Point , NC",11/21/1991,California,Active,Los Angeles Chargers,3rd season,77,Nothern Guilford HS,"Greensboro, NC","McCain, Chris",,chrismccain/2550628,LB,236,
33,"Seattle , WA",5/7/1984,Utah,Active,Kansas City Chiefs,13th season,76,Helix HS,"La Mesa, CA","Smith, Alex",11,alexsmith/2506340,QB,217,
34,"Houma , LA",3/16/1983,Louisiana Tech,Unsigned free agent,Cleveland Browns,11th season,72,Assumption HS,"Napoleonville, LA","Williams, Tramon",22,tramonwilliams/2506789,CB,192,
29,"Dallas , TX",1/16/1988,USC,Unsigned free agent,Seattle Seahawks,7th season,75,Skyline HS,"Dallas, TX","Morgan, Mike",57,mikemorgan/2530790,OLB,235,
25,"Columbus , OH",5/16/1992,Georgia Tech,Active,Los Angeles Rams,2nd season,73,Sandy Creek HS,"Tyrone, GA","Johnson, Isaiah",,isaiahjohnson/2553545,SAF,202,
24,"Metaire , LA",11/28/1992,LSU,Active,Miami Dolphins,4th season,71,Lutcher HS,LA,"Landry, Jarvis",14,jarvislandry/2543488,WR,206,
33,"Cincinnati , OH",9/22/1983,Northwestern,Active,New Orleans Saints,12th season,79,Milford HS,OH,"Strief, Zach",64,zachstrief/2506974,T,320,
24,"Sacramento , CA",10/1/1992,Louisville,Active,New York Jets,3rd season,76,Maynard H. Jackson HS,"Atlanta, GA","Mauldin, Lorenzo",55,lorenzomauldin/2552297,OLB,259,
26,"Philadelphia , PA",6/24/1990,James Madison,Active,Jacksonville Jaguars,5th season,75,Simon Gratz HS,"Philadelphia, PA","Watford, Earl",,earlwatford/2539242,OG,300,
25,"North Palm Beach , FL",2/19/1992,Auburn,Active,Cleveland Browns,4th season,72,Jupiter HS,FL,"Parkey, Cody",3,codyparkey/2550380,K,193,
28,"Montesano , WA",10/16/1988,Central Washington,Active,New Orleans Saints,Rookie,70,,,"Bighill, Adam",,adambighill/2558295,LB,230,
30,"Dallas , TX",10/9/1986,Texas Christian,Unsigned free agent,Arizona Cardinals,5th season,74,Irving HS,TX,"Washington, Daryl",58,darylwashington/496959,LB,238,
2017,,3/20/2000,West Virginia,Active,Philadelphia Eagles,Rookie,72,Cleveland Heights HS,OH,"Gibson, Shelton",,sheltongibson/2558258,WR,198,
24,"St. Louis , MO",4/12/1993,Oklahoma,Active,Philadelphia Eagles,3rd season,77,Hillcrest HS,"Springfield, MO","Green-Beckham, Dorial",18,dorialgreen-beckham/2552491,WR,237,
30,"Salinas , CA",7/19/1986,Idaho State,Active,Tampa Bay Buccaneers,8th season,74,Salinas HS,CA,"Smith, Evan",62,evansmith/2507701,OG,308,
21,"Monroe , LA",7/26/1995,Louisiana Tech,Active,Dallas Cowboys,Rookie,71,West Monroe HS,"West Monroe, LA","Woods, Xavier",,xavierwoods/2558159,SAF,197,
21,"Hattiesburg , MS",6/28/1995,Nicholls State,Active,Buffalo Bills,Rookie,81,,,"Sanders, B.T.",,b.t.sanders/2559291,DB,195,
23,"Raleigh , NC",2/16/1994,Georgia,Active,Washington Redskins,2nd season,71,Millbrook HS,"Raleigh, CA","Marshall, Keith",39,keithmarshall/2555459,RB,222,
22,"Daly City , CA",8/7/1994,Utah,Active,Jacksonville Jaguars,3rd season,77,Deseret Pines HS,"Las Vegas, NV","Poutasi, Jeremiah",73,jeremiahpoutasi/2552590,OG,335,
25,"Georgetown , SC",6/18/1991,Catawba,Active,Carolina Panthers,2nd season,72,Harding University HS,"Charlotte, NC","McCray, L.J.",,l.j.mccray/2550305,DB,210,
22,,2/26/1995,Temple,Active,Indianapolis Colts,Rookie,73,,,"Walker, Phillip",,phillipwalker/2558904,QB,201,
26,"Brooksville , MS",12/18/1990,Mississippi State,Active,New York Giants,3rd season,74,Noxubee Co. HS,"Macon, MS","Skinner, Deontae",,deontaeskinner/2550308,LB,250,
23,"Covington , LA",9/17/1993,Louisiana-Lafayette,Active,Indianapolis Colts,Rookie,71,Lakeshore HS,"Mandeville, LA","Riles, Al-Damion",,al-damionriles/2559349,DB,215,
23,"Huntsville , AL",11/4/1993,Oklahoma State,Active,Philadelphia Eagles,Rookie,78,,,"Salako, Victor",,victorsalako/2559352,OT,335,
22,"Walled Lake , MI",9/20/1994,North Carolina State,Active,Green Bay Packers,Rookie,73,,,"Jones, Josh",,joshjones/2558119,SAF,208,
29,"American Fork , UT",1/11/1988,Memphis,Active,Kansas City Chiefs,4th season,78,American Fork HS,UT,"Devey, Jordan",,jordandevey/2540247,OG,320,
27,"Miami , FL",6/7/1990,Miami (Fla.),Active,Indianapolis Colts,6th season,71,Miami Northwestern HS,FL,"Spence, Sean",,seanspence/2532952,LB,231,
24,"Lithonia , GA",11/17/1992,Mississippi State,Active,Washington Redskins,3rd season,77,Stephenson HS,"Stone Mountain, GA","Smith, Preston",94,prestonsmith/2552276,OLB,268,
23,,3/20/1994,Michigan,Active,Baltimore Ravens,2nd season,75,Glenville HS,"Cleveland, OH","Henry, Willie",69,williehenry/2555414,DT,300,
25,,8/8/1991,Nevada,Active,Dallas Cowboys,1st season,75,,,"Jones, Lenny",,lennyjones/2556570,DE,269,
26,"Lakeland , FL",11/26/1990,Marshall,Active,New York Jets,3rd season,72,Lakeland HS,FL,"Roberts, Darryl",27,darrylroberts/2553353,CB,182,
23,,7/18/1993,Florida State,Active,Tampa Bay Buccaneers,2nd season,71,Rutherford HS,"Panama City, FL","Elliott, Javien",35,javienelliott/2556934,DB,176,
22,"San Mateo , CA",10/29/1994,Stanford,Active,Atlanta Falcons,2nd season,75,De La Salle HS,"Concord, CA","Hooper, Austin",81,austinhooper/2555415,TE,254,
