name,age,birth_place,birthday,weight_lbs,height_in,college,player_id,number,position,current_stat,current_team,experience,high_school,high_school_loc,yrs_played
Jarvis Landry,24.0,"Metaire , LA",11/28/1992,206.0,71.0,LSU,jarvislandry/2543488,14.0,WR,Active,Miami Dolphins,4th season,Lutcher HS,LA,
Coonie Checkaye,,"Muncie , IN",1/6/1893,185.0,69.0,No College,cooniecheckaye/2511392,,,Retired,,2 Seasons,,,1920 - 1921
Evan Landi,,,,236.0,75.0,South Florida,evanlandi/2541721,,,Retired,,1 Season,,,2013 - 2013
Zach Strief,33.0,"Cincinnati , OH",9/22/1983,320.0,79.0,Northwestern,zachstrief/2506974,64.0,T,Active,New Orleans Saints,12th season,Milford HS,OH,
Floyd Fields,48.0,"South Holland , IL",1/7/1969,208.0,72.0,Arizona State,floydfields/2500621,,,Retired,,3 Seasons,,,1991 - 1993
Jesse Chatman,37.0,"Houston , TX",9/22/1979,225.0,68.0,Eastern Washington,jessechatman/2504891,,,Retired,,6 Seasons,,,2002 - 2008
Tim Lashar,52.0,"Santa Monica , CA",9/5/1964,160.0,69.0,Oklahoma,timlashar/2519116,,,Retired,,1 Season,,,1987 - 1987
Rudolph Hardie,31.0,,10/8/1985,269.0,74.0,Howard,rudolphhardie/4251,,,Retired,,0 Season,,,2008 - 2009
Lorenzo Mauldin,24.0,"Sacramento , CA",10/1/1992,259.0,76.0,Louisville,lorenzomauldin/2552297,55.0,OLB,Active,New York Jets,3rd season,Maynard H. Jackson HS,"Atlanta, GA",
Earl Watford,26.0,"Philadelphia , PA",6/24/1990,300.0,75.0,James Madison,earlwatford/2539242,,OG,Active,Jacksonville Jaguars,5th season,Simon Gratz HS,"Philadelphia, PA",
Maurice Johnson,50.0,"Washington , DC",1/9/1967,242.0,74.0,Temple,mauricejohnson/2501441,,,Retired,,4 Seasons,,,1991 - 1994
Fred Arbanas,78.0,"Detroit , MI",1/14/1939,240.0,75.0,Michigan State,fredarbanas/2508603,,,Retired,,9 Seasons,,,1962 - 1970
Carmen Cavalli,79.0,"Philadelphia , PA",6/11/1937,245.0,76.0,Richmond,carmencavalli/2511291,,,Retired,,1 Season,,,1960 - 1960
Cody Parkey,25.0,"North Palm Beach , FL",2/19/1992,193.0,72.0,Auburn,codyparkey/2550380,3.0,K,Active,Cleveland Browns,4th season,Jupiter HS,FL,
Bill Ferrario,38.0,"Scranton , PA",9/22/1978,315.0,74.0,Wisconsin,billferrario/2504610,,,Retired,,3 Seasons,,,2001 - 2004
Adam Bighill,28.0,"Montesano , WA",10/16/1988,230.0,70.0,Central Washington,adambighill/2558295,,LB,Active,New Orleans Saints,Rookie,,,
George Timberlake,,"Long Beach , CA",11/3/1932,220.0,73.0,USC,georgetimberlake/2527435,,,Retired,,1 Season,,,1955 - 1955
Braxton Kelley,30.0,"Lagrange , GA",10/24/1986,242.0,72.0,Kentucky,braxtonkelley/2507564,,,Retired,,2 Seasons,,,2009 - 2011
Steve DeLine,55.0,"Denver , CO",8/19/1961,185.0,71.0,Colorado State,stevedeline/2512749,,,Retired,,2 Seasons,,,1988 - 1989
Bob Scott,,"Phil Campbell , AL",8/8/1895,195.0,,No College,bobscott/2525220,,,Retired,,1 Season,,,1926 - 1926
Tom Gatewood,67.0,"Baltimore , MD",3/7/1950,215.0,75.0,Notre Dame,tomgatewood/2514699,,,Retired,,2 Seasons,,,1972 - 1973
Elliott Ormsbee,,"Hamilton , IL",9/19/1921,185.0,71.0,Bradley,elliottormsbee/2522537,,,Retired,,1 Season,,,1946 - 1946
Daryl Washington,30.0,"Dallas , TX",10/9/1986,238.0,74.0,Texas Christian,darylwashington/496959,58.0,LB,Unsigned free agent,Arizona Cardinals,5th season,Irving HS,TX,
Dave O'Brien,75.0,"Cambridge , MA",6/13/1941,247.0,75.0,Boston College,daveo'brien/2522348,,,Retired,,5 Seasons,,,1963 - 1967
Clyde Zoia,,"Woodstock , IL",5/28/1896,175.0,67.0,Notre Dame,clydezoia/2529677,,,Retired,,4 Seasons,,,1920 - 1923
Jake Arians,39.0,"Blacksburg , VA",1/26/1978,203.0,71.0,Alabama-Birmingham,jakearians/2503958,,,Retired,,1 Season,,,2001 - 2001
Mike Wells,46.0,"Arnold , MO",1/6/1971,315.0,75.0,Iowa,mikewells/2503592,,,Retired,,8 Seasons,,,1994 - 2001
Shelton Gibson,2017.0,,3/20/0,198.0,72.0,West Virginia,sheltongibson/2558258,,WR,Active,Philadelphia Eagles,Rookie,Cleveland Heights HS,OH,
Lamar Thomas,47.0,"Ocala , FL",2/12/1970,175.0,73.0,Miami (Fla.),lamarthomas/2503310,,,Retired,,8 Seasons,,,1993 - 2000
Dan Wagoner,57.0,"High Point , NC",12/12/1959,180.0,70.0,Kansas,danwagoner/2528057,,,Retired,,4 Seasons,,,1982 - 1985
Curtis Weathers,60.0,"Memphis , TN",9/16/1956,224.0,77.0,Mississippi,curtisweathers/2528395,,,Retired,,7 Seasons,,,1979 - 1985
Tony Norman,62.0,"Atlanta , GA",1/27/1955,270.0,77.0,Iowa State,tonynorman/2522238,,,Retired,,1 Season,,,1987 - 1987
Dorial Green-Beckham,24.0,"St. Louis , MO",4/12/1993,237.0,77.0,Oklahoma,dorialgreen-beckham/2552491,18.0,WR,Active,Philadelphia Eagles,3rd season,Hillcrest HS,"Springfield, MO",
Les Kelley,72.0,"Decatur , AL",12/9/1944,233.0,75.0,Alabama,leskelley/2518270,,,Retired,,3 Seasons,,,1967 - 1969
C.R. Roberts,81.0,"Los Angeles , CA",2/29/1936,202.0,75.0,USC,c.r.roberts/2524261,,,Retired,,4 Seasons,,,1959 - 1962
Kevin Walker,53.0,"Greensboro , NC",10/20/1963,180.0,71.0,East Carolina,kevinwalker/2528109,,,Retired,,2 Seasons,,,1986 - 1987
Darrell Hamilton,52.0,"Washington , DC",5/11/1965,298.0,77.0,North Carolina,darrellhamilton/2500988,,,Retired,,4 Seasons,,,1989 - 1993
Harry Gilmer,,"Birmingham , AL",4/14/1926,169.0,72.0,Alabama,harrygilmer/2514904,,,Retired,,8 Seasons,,,1948 - 1956
Jason Campbell,35.0,"Laurel , MS",12/31/1981,235.0,77.0,Auburn,jasoncampbell/2506364,,,Retired,,10 Seasons,,,2005 - 2014
Ron Tilton,53.0,"Homestead , FL",8/9/1963,250.0,76.0,Tulane,rontilton/2527434,,,Retired,,2 Seasons,,,1986 - 1988
Mike Teifke,53.0,,12/29/1963,255.0,76.0,Akron,miketeifke/2527144,,,Retired,,1 Season,,,1987 - 1987
Jerry Planutis,87.0,"Detroit , MI",5/18/1930,175.0,69.0,Michigan State,jerryplanutis/2523305,,,Retired,,1 Season,,,1956 - 1956
Evan Smith,30.0,"Salinas , CA",7/19/1986,308.0,74.0,Idaho State,evansmith/2507701,62.0,OG,Active,Tampa Bay Buccaneers,8th season,Salinas HS,CA,
Mareno Philyaw,39.0,"Atlanta , GA",12/19/1977,208.0,74.0,Troy,marenophilyaw/2504130,,,Retired,,2 Seasons,,,2000 - 2001
Ike Reese,43.0,"Jacksonville , NC",10/16/1973,222.0,74.0,Michigan State,ikereese/2502615,,,Retired,,9 Seasons,,,1998 - 2006
Troy Walters,40.0,"Bloomington , IN",12/15/1976,171.0,68.0,Stanford,troywalters/2504176,,,Retired,,8 Seasons,,,2000 - 2007
Marvin Johnson,,"San Francisco , CA",4/13/1927,183.0,71.0,San Jose State,marvinjohnson/2517717,,,Retired,,3 Seasons,,,1951 - 1953
Art Pharmer,,"Spokane , WA",7/21/1908,186.0,70.0,Minnesota,artpharmer/2523145,,,Retired,,2 Seasons,,,1930 - 1931
Dale Farley,67.0,"Sparta , TN",9/27/1949,225.0,75.0,West Virginia,dalefarley/2513829,,,Retired,,3 Seasons,,,1971 - 1973
Lindsay Knapp,47.0,"Arlington Heights , IL",2/25/1970,300.0,78.0,Notre Dame,lindsayknapp/2501637,,,Retired,,4 Seasons,,,1993 - 1996
Leomont Evans,42.0,"Abbeville , SC",7/12/1974,213.0,73.0,Clemson,leomontevans/2500572,,,Retired,,5 Seasons,,,1996 - 2002
Larry Foster,40.0,"Shreveport , LA",11/7/1976,188.0,70.0,LSU,larryfoster/2504017,,,Retired,,4 Seasons,,,2000 - 2003
Xavier Woods,21.0,"Monroe , LA",7/26/1995,197.0,71.0,Louisiana Tech,xavierwoods/2558159,,SAF,Active,Dallas Cowboys,Rookie,West Monroe HS,"West Monroe, LA",
Anthony Adams,36.0,"Detroit , MI",6/18/1980,310.0,72.0,Penn State,anthonyadams/2505588,,,Retired,,9 Seasons,,,2003 - 2011
B.T. Sanders,21.0,"Hattiesburg , MS",6/28/1995,195.0,81.0,Nicholls State,b.t.sanders/2559291,,DB,Active,Buffalo Bills,Rookie,,,
Charlie Knox,,,,185.0,71.0,St. Edmonds,charlieknox/2518656,,,Retired,,1 Season,,,1937 - 1937
Willie Pearson,70.0,"Bennettsville , SC",5/9/1947,190.0,72.0,North Carolina A&T,williepearson/2522941,,,Retired,,1 Season,,,1969 - 1969
Marques Anderson,38.0,"Los Angeles , CA",5/26/1979,210.0,71.0,UCLA,marquesanderson/2505087,,,Retired,,4 Seasons,,,2002 - 2005
Ken Lanier,57.0,"Columbus , OH",7/8/1959,290.0,75.0,Florida State,kenlanier/2501695,,,Retired,,14 Seasons,,,1981 - 1994
Army Tomaini,,"Long Branch , NJ",2/5/1918,245.0,72.0,Catawba,armytomaini/2527508,,,Retired,,1 Season,,,1945 - 1945
Keith Marshall,23.0,"Raleigh , NC",2/16/1994,222.0,71.0,Georgia,keithmarshall/2555459,39.0,RB,Active,Washington Redskins,2nd season,Millbrook HS,"Raleigh, CA",
Jeremiah Poutasi,22.0,"Daly City , CA",8/7/1994,335.0,77.0,Utah,jeremiahpoutasi/2552590,73.0,OG,Active,Jacksonville Jaguars,3rd season,Deseret Pines HS,"Las Vegas, NV",
Coy Beilby,28.0,,11/10/1988,310.0,79.0,Marian (Ind.),coybeilby/2530664,,,Retired,,1 Season,,,2011 - 2011
Ray Agnew,26.0,"Winston Salem , NC",2/26/1991,247.0,70.0,Southern Illinois,rayagnew/2550175,,,Retired,,2 Seasons,,,2014 - 2015
Victor Floyd,51.0,"Pensacola , FL",1/24/1966,201.0,73.0,Florida State,victorfloyd/2514180,,,Retired,,1 Season,,,1989 - 1989
L.J. McCray,25.0,"Georgetown , SC",6/18/1991,210.0,72.0,Catawba,l.j.mccray/2550305,,DB,Active,Carolina Panthers,2nd season,Harding University HS,"Charlotte, NC",
Bob Barrabee,,"Malden , MA",7/23/1905,190.0,69.0,N.Y.U.,bobbarrabee/2509065,,,Retired,,1 Season,,,1931 - 1931
Earl Ferrell,59.0,"Halifax , VA",3/27/1958,225.0,72.0,East Tennessee State,earlferrell/2513972,,,Retired,,8 Seasons,,,1982 - 1989
Gary Walker,26.0,"Rialto , CA",5/10/1991,200.0,72.0,Idaho,garywalker/2542042,,,Retired,,1 Season,,,2013 - 2013
Joe Savoldi,,Milan Italy,3/5/1908,194.0,71.0,Notre Dame,joesavoldi/2524960,,,Retired,,1 Season,,,1930 - 1930
Lionel Antoine,66.0,"Biloxi , MS",8/31/1950,262.0,78.0,Southern Illinois,lionelantoine/2508588,,,Retired,,6 Seasons,,,1972 - 1978
Pete Jaquess,76.0,"Earth , TX",12/25/1940,185.0,72.0,Eastern New Mexico,petejaquess/2517423,,,Retired,,7 Seasons,,,1964 - 1970
Johnny Quinn,33.0,,11/6/1983,202.0,72.0,North Texas,johnnyquinn/2507042,,,Retired,,1 Season,,,2008 - 2008
Jon Alston,34.0,,9/4/1982,306.0,77.0,South Carolina,jonalston/2506324,,,Retired,,0 Season,,,2006 - 2007
Marq Cerqua,40.0,"Greenville , SC",4/3/1977,223.0,74.0,Carson-Newman,marqcerqua/2504413,,,Retired,,2 Seasons,,,2001 - 2002
Phillip Walker,22.0,,2/26/1995,201.0,73.0,Temple,phillipwalker/2558904,,QB,Active,Indianapolis Colts,Rookie,,,
Kevin Harrison,35.0,"Belleville , MI",12/24/1981,250.0,72.0,Eastern Michigan,kevinharrison/2506302,,,Retired,,2 Seasons,,,2006 - 2007
Thomas Seabron,60.0,"Baltimore , MD",5/24/1957,215.0,75.0,Michigan,thomasseabron/2525253,,,Retired,,2 Seasons,,,1979 - 1980
Jim Peterson,67.0,"San Diego , CA",1/20/1950,235.0,77.0,San Diego State,jimpeterson/2523093,,,Retired,,3 Seasons,,,1974 - 1976
David Vobora,31.0,"Eugene , OR",4/8/1986,239.0,73.0,Idaho,davidvobora/2323,,,Retired,,4 Seasons,,,2008 - 2011
Gus King,,"Flemingsburg , KY",1/11/1900,180.0,71.0,Centre,gusking/2518479,,,Retired,,1 Season,,,1922 - 1922
Anthony Allen,57.0,"Mccomb , MS",6/29/1959,180.0,71.0,Washington,anthonyallen/2508351,,,Retired,,5 Seasons,,,1985 - 1989
Shelton Johnson,26.0,"Oklahoma City , OK",7/16/1990,195.0,72.0,Wisconsin,sheltonjohnson/2541510,,,Retired,,2 Seasons,,,2013 - 2014
R.J. Webb,29.0,"Greenville , SC",8/24/1987,205.0,74.0,Furman,r.j.webb/2542044,,,Retired,,1 Season,,,2013 - 2013
Chris Chamberlain,31.0,"Bethany , OK",9/30/1985,238.0,73.0,Tulsa,chrischamberlain/4449,,,Retired,,6 Seasons,,,2008 - 2013
Jared Campbell,27.0,,8/30/1989,200.0,72.0,Miami (Fla.),jaredcampbell/2531032,,,Retired,,1 Season,,,2011 - 2011
George Cafego,,"Whipple , WV",8/30/1915,169.0,70.0,Tennessee,georgecafego/2510890,,,Retired,,4 Seasons,,,1940 - 1945
Larry Flowers,59.0,"Temple , TX",4/19/1958,190.0,73.0,Texas Tech,larryflowers/2514167,,,Retired,,5 Seasons,,,1981 - 1985
Daniel Adongo,27.0,Nairobi Kenya,10/12/1989,270.0,77.0,No College,danieladongo/2542272,,,Retired,,3 Seasons,,,2013 - 2015
Fran Mallick,76.0,,2/25/1941,245.0,74.0,No College,franmallick/2520026,,,Retired,,1 Season,,,1965 - 1965
Chris Harper,27.0,"Wichita , KS",9/10/1989,228.0,73.0,Kansas State,chrisharper/2539246,,,Retired,,3 Seasons,,,2013 - 2015
Sam Harrell,60.0,"Ahoskie , NC",2/7/1957,217.0,74.0,East Carolina,samharrell/2515892,,,Retired,,3 Seasons,,,1981 - 1987
Deontae Skinner,26.0,"Brooksville , MS",12/18/1990,250.0,74.0,Mississippi State,deontaeskinner/2550308,,LB,Active,New York Giants,3rd season,Noxubee Co. HS,"Macon, MS",
Al-Damion Riles,23.0,"Covington , LA",9/17/1993,215.0,71.0,Louisiana-Lafayette,al-damionriles/2559349,,DB,Active,Indianapolis Colts,Rookie,Lakeshore HS,"Mandeville, LA",
Keith Gary,57.0,"Bethesda , MD",9/14/1959,263.0,75.0,Oklahoma,keithgary/2514682,,,Retired,,6 Seasons,,,1983 - 1988
Richard Tardits,51.0,Biarritz France,7/30/1965,218.0,74.0,Georgia,richardtardits/2503240,,,Retired,,3 Seasons,,,1990 - 1992
Chase Pittman,34.0,"Minden , LA",3/15/1983,300.0,77.0,LSU,chasepittman/2507242,,,Retired,,2 Seasons,,,2007 - 2008
Bob Patton,62.0,"Camp Lejeune , NC",10/21/1954,245.0,73.0,Delaware,bobpatton/2522874,,,Retired,,1 Season,,,1976 - 1976
Len Barnum,,"Parkersburg , WV",9/18/1912,200.0,72.0,West Virginia Wesleyan,lenbarnum/2509058,,,Retired,,5 Seasons,,,1938 - 1942
Victor Salako,23.0,"Huntsville , AL",11/4/1993,335.0,78.0,Oklahoma State,victorsalako/2559352,,OT,Active,Philadelphia Eagles,Rookie,,,
Chris Pizzotti,30.0,"Reading , MA",6/29/1986,225.0,77.0,Harvard,chrispizzotti/89780,,,Retired,,1 Season,,,2009 - 2009
Clyde Goodnight,,"Holland , TX",3/3/1924,205.0,73.0,Tulsa,clydegoodnight/2515066,,,Retired,,6 Seasons,,,1945 - 1950
Jean Barrett,66.0,"Fort Worth , TX",5/24/1951,253.0,78.0,Tulsa,jeanbarrett/2509072,,,Retired,,7 Seasons,,,1973 - 1980
Jeremy Carter,37.0,,11/20/1979,194.0,71.0,Western Carolina,jeremycarter/2511187,,,Retired,,0 Season,,,2006 - 2006
Ray Schwab,,"Carnegie , OK",2/28/1908,205.0,,Oklahoma City,rayschwab/2525149,,,Retired,,2 Seasons,,,1931 - 1932
Josh Jones,22.0,"Walled Lake , MI",9/20/1994,208.0,73.0,North Carolina State,joshjones/2558119,,SAF,Active,Green Bay Packers,Rookie,,,
Byron Eby,,"Circleville , OH",12/11/1904,185.0,72.0,Ohio State,byroneby/2513437,,,Retired,,1 Season,,,1930 - 1930
Jordan Devey,29.0,"American Fork , UT",1/11/1988,320.0,78.0,Memphis,jordandevey/2540247,,OG,Active,Kansas City Chiefs,4th season,American Fork HS,UT,
Eric Fairs,53.0,"Memphis , TN",2/17/1964,235.0,75.0,Memphis,ericfairs/2500586,,,Retired,,7 Seasons,,,1986 - 1992
Bruce Alford,72.0,"Forth Worth , TX",4/21/1945,190.0,72.0,Texas Christian,brucealford/2508341,,,Retired,,3 Seasons,,,1967 - 1969
Sean Spence,27.0,"Miami , FL",6/7/1990,231.0,71.0,Miami (Fla.),seanspence/2532952,,LB,Active,Indianapolis Colts,6th season,Miami Northwestern HS,FL,
Frank Quillen,,"Ridley Park , PA",12/18/1920,225.0,77.0,Pennsylvania,frankquillen/2523647,,,Retired,,2 Seasons,,,1946 - 1947
Kevin Adkins,51.0,"Midwest City , OK",8/27/1965,250.0,73.0,Oklahoma,kevinadkins/2508244,,,Retired,,1 Season,,,1987 - 1987
Paul Harris,62.0,"Mobile , AL",12/19/1954,220.0,75.0,Alabama,paulharris/2515976,,,Retired,,2 Seasons,,,1977 - 1978
Herman Arvie,46.0,"Opelousas , LA",10/12/1970,305.0,76.0,Grambling State,hermanarvie/2499462,,,Retired,,4 Seasons,,,1993 - 1996
Kenneth Harper,24.0,,1/30/1993,233.0,70.0,Temple,kennethharper/2553889,,,Retired,,1 Season,,,2015 - 2015
Kevin Belcher,,"Detroit , MI",2/23/1961,266.0,75.0,Texas-El Paso,kevinbelcher/2509323,,,Retired,,2 Seasons,,,1983 - 1984
Alan Harper,37.0,"Fontana , CA",9/6/1979,285.0,73.0,Fresno State,alanharper/2505110,,,Retired,,3 Seasons,,,2002 - 2004
Bivian Lee,,"Austin , TX",8/3/1948,200.0,75.0,Prairie View A&M,bivianlee/2519258,,,Retired,,5 Seasons,,,1971 - 1975
Preston Smith,24.0,"Lithonia , GA",11/17/1992,268.0,77.0,Mississippi State,prestonsmith/2552276,94.0,OLB,Active,Washington Redskins,3rd season,Stephenson HS,"Stone Mountain, GA",
Wild Bill Kelly,,"Denver , CO",6/24/1905,184.0,70.0,Montana,wildbillkelly/2518305,,,Retired,,4 Seasons,,,1927 - 1930
Willie Henry,23.0,,3/20/1994,300.0,75.0,Michigan,williehenry/2555414,69.0,DT,Active,Baltimore Ravens,2nd season,Glenville HS,"Cleveland, OH",
Mike Richardson,70.0,"Fort Worth , TX",12/8/1946,196.0,71.0,Southern Methodist,mikerichardson/2524116,,,Retired,,3 Seasons,,,1969 - 1971
Ricky Ray,37.0,"Shasta , CA",10/22/1979,208.0,75.0,Sacramento State,rickyray/2504760,,,Retired,,2 Seasons,,,2001 - 2004
Patrick Scott,46.0,"Durham , NC",6/4/1971,229.0,76.0,South Carolina State,patrickscott/2502872,,,Retired,,1 Season,,,1996 - 1996
Bill Ring,60.0,"Des Moines , IA",12/13/1956,208.0,70.0,Brigham Young,billring/2524201,,,Retired,,6 Seasons,,,1981 - 1986
Charlie McBride,,"Puyallup , WA",7/6/1914,185.0,70.0,Washington State,charliemcbride/2520476,,,Retired,,1 Season,,,1936 - 1936
Al Barry,86.0,"Los Angeles , CA",12/24/1930,238.0,74.0,USC,albarry/2509087,,,Retired,,5 Seasons,,,1954 - 1960
Kent Lawrence,71.0,"Anderson , SC",6/3/1946,180.0,72.0,Georgia,kentlawrence/2519184,,,Retired,,2 Seasons,,,1969 - 1970
Lenny Jones,25.0,,8/8/1991,269.0,75.0,Nevada,lennyjones/2556570,,DE,Active,Dallas Cowboys,1st season,,,
Marques Ogden,36.0,"Washington , DC",11/15/1980,312.0,77.0,Howard,marquesogden/2505609,,,Retired,,1 Season,,,2003 - 2007
Don Fielder,57.0,"Las Cruces , NM",10/20/1959,260.0,75.0,Kentucky,donfielder/2513996,,,Retired,,1 Season,,,1985 - 1985
John Ellis,,"Sherman , TX",12/21/1919,212.0,70.0,Vanderbilt,johnellis/2513580,,,Retired,,1 Season,,,1944 - 1944
Trevor Harris,31.0,"Waldo , OH",5/31/1986,223.0,74.0,Edinboro,trevorharris/1037337,,,Retired,,1 Season,,,2010 - 2010
Curtis Jackson,43.0,"Fort Worth , TX",9/22/1973,194.0,70.0,Texas,curtisjackson/2504027,,,Retired,,4 Seasons,,,2000 - 2003
Darryl Roberts,26.0,"Lakeland , FL",11/26/1990,182.0,72.0,Marshall,darrylroberts/2553353,27.0,CB,Active,New York Jets,3rd season,Lakeland HS,FL,
Javien Elliott,23.0,,7/18/1993,176.0,71.0,Florida State,javienelliott/2556934,35.0,DB,Active,Tampa Bay Buccaneers,2nd season,Rutherford HS,"Panama City, FL",
Austin Hooper,22.0,"San Mateo , CA",10/29/1994,254.0,75.0,Stanford,austinhooper/2555415,81.0,TE,Active,Atlanta Falcons,2nd season,De La Salle HS,"Concord, CA",
Frank Manumaleuga,61.0,Salelavalu Western Samoa,5/9/1956,245.0,74.0,San Jose State,frankmanumaleuga/2520100,,,Retired,,3 Seasons,,,1979 - 1981
Johnny Nagle,,"Reading , PA",8/4/1893,175.0,69.0,No College,johnnynagle/2521935,,,Retired,,1 Season,,,1921 - 1921
Brandon Boykin,26.0,"Atlanta , GA",7/13/1990,182.0,70.0,Georgia,brandonboykin/2532798,,DB,Active,Baltimore Ravens,6th season,Fayette Co. HS,"Fayetteville, GA",
Bud Abell,76.0,"Kansas City , MO",12/21/1940,220.0,75.0,Missouri,budabell/2508154,,,Retired,,3 Seasons,,,1966 - 1968
Biff Taugher,,"Wausau , WI",3/2/1895,185.0,70.0,Marquette,bifftaugher/2527052,,,Retired,,2 Seasons,,,1922 - 1924
Mike Elkins,50.0,"Greensboro , NC",7/20/1966,221.0,75.0,Wake Forest,mikeelkins/2500531,,,Retired,,3 Seasons,,,1989 - 1992
Mike Peterson,40.0,"Gainesville , FL",6/17/1976,226.0,73.0,Florida,mikepeterson/2502462,,,Retired,,14 Seasons,,,1999 - 2012
Patrick DiMarco,28.0,"Altamonte Springs , FL",4/30/1989,234.0,73.0,South Carolina,patrickdimarco/2530763,,RB,Active,Buffalo Bills,6th season,Lake Brantley HS,"Altamonte Springs, FL",
Jeremy Sprinkle,22.0,"White Hall , AR",8/10/1994,256.0,77.0,Arkansas,jeremysprinkle/2557886,,TE,Active,Washington Redskins,Rookie,White Hall HS,AR,
Dustin Vaughan,26.0,,1/27/1991,240.0,77.0,West Texas A&M,dustinvaughan/2550410,,QB,Active,Baltimore Ravens,2nd season,,,
Joe Carroll,67.0,"Warren , OH",5/29/1950,220.0,73.0,Pittsburgh,joecarroll/2511156,,,Retired,,2 Seasons,,,1972 - 1973
Cy Kasper,,"Faribault , MN",5/27/1895,170.0,70.0,Notre Dame,cykasper/2518169,,,Retired,,1 Season,,,1923 - 1923
L'Damian Washington,26.0,,5/10/1991,200.0,76.0,Missouri,l'damianwashington/2550414,,,Retired,,2 Seasons,,,2014 - 2015
Tony Scheffler,34.0,"Morenci , MI",2/15/1983,255.0,77.0,Western Michigan,tonyscheffler/2495942,,,Retired,,8 Seasons,,,2006 - 2013
Larry Tearry,61.0,"Erwin , NC",4/24/1956,260.0,75.0,Wake Forest,larrytearry/2527138,,,Retired,,2 Seasons,,,1978 - 1979
Colin Anderson,27.0,"Gaithersburg , MD",11/21/1989,240.0,76.0,Furman,colinanderson/2541680,,,Retired,,2 Seasons,,,2013 - 2014
Andy Farkas,,"Clay Center , OH",5/2/1916,189.0,70.0,Detroit Mercy,andyfarkas/2513827,,,Retired,,8 Seasons,,,1938 - 1945
Anthony Fieldings,45.0,"Eustis , FL",7/9/1971,237.0,73.0,Morningside,anthonyfieldings/2500620,,,Retired,,1 Season,,,1995 - 1995
Juan Nunez,29.0,,4/27/1988,183.0,73.0,Western Michigan,juannunez/2531054,,,Retired,,1 Season,,,2011 - 2011
Cory Reamer,30.0,,5/6/1987,231.0,75.0,Alabama,coryreamer/2507974,,,Retired,,1 Season,,,2010 - 2010
Gartrell Johnson,30.0,"Miami , FL",6/21/1986,219.0,70.0,Colorado State,gartrelljohnson/80652,,,Retired,,3 Seasons,,,2009 - 2011
Greg Ellingson,28.0,,12/30/1988,197.0,75.0,Florida International,gregellingson/2530674,,,Retired,,2 Seasons,,,2011 - 2012
Donovan Arp,39.0,,1/12/1978,280.0,75.0,Louisville,donovanarp/2504422,,,Retired,,1 Season,,,2001 - 2001
Mike Rivera,31.0,"Shawnee , KS",1/10/1986,255.0,74.0,Kansas,mikerivera/2507584,,,Retired,,5 Seasons,,,2009 - 2013
Leonard Renfro,46.0,"Detroit , MI",6/29/1970,291.0,74.0,Colorado,leonardrenfro/2502631,,,Retired,,2 Seasons,,,1993 - 1994
Jonathan Newsome,26.0,,1/22/1991,247.0,75.0,Ball State,jonathannewsome/2543555,,,Retired,,2 Seasons,,,2014 - 2015
Thomas Johnson,35.0,,6/24/1981,304.0,74.0,Middle Tennessee State,thomasjohnson/2506234,,,Retired,,5 Seasons,,,2005 - 2010
Jack LeVeck,67.0,"Columbus , OH",2/3/1950,225.0,72.0,Ohio U.,jackleveck/2519388,,,Retired,,3 Seasons,,,1973 - 1975
Ed Hardy,66.0,"Magee , MS",3/11/1951,242.0,76.0,Jackson State,edhardy/2515823,,,Retired,,1 Season,,,1973 - 1973
Dennis Gaubatz,77.0,"Needville , TX",2/11/1940,232.0,74.0,LSU,dennisgaubatz/2514704,,,Retired,,7 Seasons,,,1963 - 1969
Shiner Knab,,"Cincinnati , OH",3/25/1894,190.0,73.0,No College,shinerknab/2518621,,,Retired,,1 Season,,,1921 - 1921
Lavonte David,27.0,"Miami , FL",1/23/1990,233.0,73.0,Nebraska,lavontedavid/2532828,54.0,OLB,Active,Tampa Bay Buccaneers,6th season,Miami Northwestern HS,FL,
Ronnie West,48.0,"Pineview , GA",6/23/1968,215.0,73.0,Pittsburg State,ronniewest/2503599,,,Retired,,2 Seasons,,,1992 - 1993
Wendell Davis,43.0,"Wichita , KS",6/27/1973,185.0,70.0,Oklahoma,wendelldavis/2500338,,,Retired,,4 Seasons,,,1996 - 1999
Nick DeCarbo,,"New Castle , PA",3/21/1910,185.0,69.0,Duquesne,nickdecarbo/2512700,,,Retired,,1 Season,,,1933 - 1933
John Gabler,,,,,,,johngabler/2514516,,,Retired,,,,,1925 - 1926
Justin Blackmon,27.0,"Oceanside , CA",1/9/1990,210.0,73.0,Oklahoma State,justinblackmon/2533038,14.0,WR,Suspended,Jacksonville Jaguars,2nd season,Plainview HS,"Ardmore, OK",
Dan Skipper,22.0,"Arvada , CO",9/20/1994,309.0,82.0,Arkansas,danskipper/2559372,,OT,Active,Dallas Cowboys,Rookie,Ralston Valley HS,"Arvada, CO",
Tim Castille,33.0,"Phenix City , AL",5/29/1984,238.0,71.0,Alabama,timcastille/2507268,,,Retired,,4 Seasons,,,2007 - 2010
Dan Klecko,36.0,"Colts Neck , NJ",1/12/1981,275.0,71.0,Temple,danklecko/2505471,,,Retired,,8 Seasons,,,2003 - 2010
Al Edwards,50.0,"New Orleans , LA",5/18/1967,171.0,68.0,Northwestern State-Louisiana,aledwards/2500509,,,Retired,,4 Seasons,,,1990 - 1993
